value,year,month,social_integration_percentage,perc_under_living_wage,LifeSatisfactionLow,LifeSatisfactionMedium,LifeSatisfactionHigh,LifeSatisfactionVeryHigh
0,2017,2,98,16.7,0,16.99,37.43,35.44
93,2018,2,95,20.8,0,21.78,45.18,24.85
4,2018,3,96,21.2,0,16.5,41.06,33.84
23,2018,0,95,35.1,0,14.56,45.69,32.98
22,2017,1,84,36.2,0,15.03,40.33,38.42
28,2018,3,95,13,0,20.38,47.57,25.44
2,2018,0,97,12.2,0,16.99,37.43,35.44
0,2017,1,85,35.9,11.16,19.75,34.9,34.19
3,2018,0,89,39.7,0,15.03,40.33,38.42
21,2018,0,96,21.2,0,16.5,41.06,33.84
17,2018,3,89,38.4,0,13.25,58.69,24.57
0,2018,4,89,26.6,0,12.38,37.79,42.9
14,2018,1,89,36.9,0,17.1,52.32,27.19
10,2018,5,94,22.1,10.43,22.17,40.06,27.34
1,2018,2,96,11.7,9.01,16.02,38.54,36.44
1,2017,0,95,19.5,0,16.15,52.83,26.2
0,2018,8,97,23.4,0,14.22,48.74,31.5
96,2017,0,94,20.6,0,14.22,48.74,31.5
124,2018,8,97,12.2,0,16.99,37.43,35.44
23,2017,1,91,29.2,0,17.22,44.89,32.87
1,2017,0,91,29.2,0,17.22,44.89,32.87
1,2018,7,95,20.8,0,21.78,45.18,24.85
2,2018,2,95,35.1,0,14.56,45.69,32.98
9,2018,0,93,30.2,0,19.73,40.86,30.82
1,2018,8,94,22.1,10.43,22.17,40.06,27.34
0,2018,8,88,48.7,7.9,20.22,34.81,37.08
2,2018,0,94,22.1,10.43,22.17,40.06,27.34
91,2018,9,83,33.5,10.6,17.12,37.57,34.71
0,2018,7,95,13.3,8.94,14.85,48.2,28.02
0,2018,8,95,20.8,0,21.78,45.18,24.85
25,2018,3,89,38.4,0,13.25,58.69,24.57
2,2018,2,89,39.7,0,15.03,40.33,38.42
4,2018,0,83,35.3,9.39,14.71,43.12,32.78
12,2018,2,92,28.5,7.54,12.87,46.82,32.77
11,2017,2,95,13.2,0,20.38,47.57,25.44
74,2018,7,95,13.3,8.94,14.85,48.2,28.02
0,2017,0,88,29.3,0,21.6,43.33,28.87
15,2018,4,97,23.4,0,14.22,48.74,31.5
60,2018,4,88,48.7,7.9,20.22,34.81,37.08
0,2018,1,96,21.2,0,16.5,41.06,33.84
0,2018,1,97,23.4,0,14.22,48.74,31.5
78,2017,0,86,23.7,0,16.87,43.14,30.43
5,2018,0,93,30.2,0,19.73,40.86,30.82
214,2018,2,96,23.6,9.8,19.18,43.39,27.64
0,2018,9,87,29.1,0,16.87,43.14,30.43
75,2017,2,91,29.2,0,17.22,44.89,32.87
150,2018,3,97,23.4,0,14.22,48.74,31.5
15,2018,2,98,14.1,7.02,21.68,41.26,30.05
2,2018,0,95,35.1,0,14.56,45.69,32.98
13,2018,5,95,20.8,0,21.78,45.18,24.85
4,2018,8,98,14.1,7.02,21.68,41.26,30.05
2,2018,7,91,36.3,0,17.22,44.89,32.87
204,2018,5,87,29.1,0,16.87,43.14,30.43
0,2018,9,87,32.8,0,15.53,44.99,30.84
0,2017,2,94,20.6,0,14.22,48.74,31.5
0,2018,4,89,38.4,0,13.25,58.69,24.57
2,2017,1,94,14,7.02,21.68,41.26,30.05
0,2018,5,89,36.9,0,17.1,52.32,27.19
0,2018,4,96,22.3,0,16.15,52.83,26.2
1,2018,5,97,23.4,0,14.22,48.74,31.5
0,2018,1,83,33.5,10.6,17.12,37.57,34.71
1,2018,7,89,38.4,0,13.25,58.69,24.57
0,2018,9,91,36.3,0,17.22,44.89,32.87
50,2018,1,89,38.4,0,13.25,58.69,24.57
0,2018,1,96,23.6,9.8,19.18,43.39,27.64
196,2018,8,96,33.8,0,22.03,39.15,33.39
226,2017,1,95,9.8,9.01,16.02,38.54,36.44
0,2018,6,94,25,10.52,18.15,38.32,33.01
0,2018,3,94,27.9,8.18,12.32,47.42,32.08
66,2018,8,97,12.2,0,16.99,37.43,35.44
311,2018,2,85,28.6,0,21.6,43.33,28.87
22,2018,1,95,35.1,0,14.56,45.69,32.98
0,2018,4,96,22.3,0,16.15,52.83,26.2
0,2018,6,93,30.2,0,19.73,40.86,30.82
5,2018,7,87,29.1,0,16.87,43.14,30.43
0,2017,2,94,14,7.02,21.68,41.26,30.05
7,2018,2,96,23.6,9.8,19.18,43.39,27.64
0,2017,2,97,17.6,0,16.5,41.06,33.84
65,2018,4,88,48.7,7.9,20.22,34.81,37.08
0,2018,5,94,22.1,10.43,22.17,40.06,27.34
2,2018,6,93,30.2,0,19.73,40.86,30.82
26,2018,7,87,32.8,0,15.53,44.99,30.84
212,2017,2,92,24.7,7.54,12.87,46.82,32.77
1,2018,4,85,28.6,0,21.6,43.33,28.87
2,2018,0,94,22.1,10.43,22.17,40.06,27.34
0,2018,2,97,23.4,0,14.22,48.74,31.5
1,2018,7,89,38.4,0,13.25,58.69,24.57
1,2018,9,96,22.3,0,16.15,52.83,26.2
278,2018,1,92,28.5,7.54,12.87,46.82,32.77
3,2017,1,96,17.9,0,21.78,45.18,24.85
0,2018,5,95,35.1,0,14.56,45.69,32.98
0,2018,5,96,33.8,0,22.03,39.15,33.39
0,2018,9,94,27.9,8.18,12.32,47.42,32.08
0,2018,1,96,23.6,9.8,19.18,43.39,27.64
0,2017,1,84,36.2,0,15.03,40.33,38.42
1,2018,2,87,29.1,0,16.87,43.14,30.43
25,2018,6,96,22.3,0,16.15,52.83,26.2
64,2017,2,94,14,7.02,21.68,41.26,30.05
86,2018,9,96,23.6,9.8,19.18,43.39,27.64
1,2018,2,89,36.9,0,17.1,52.32,27.19
2,2018,1,83,35.3,9.39,14.71,43.12,32.78
1,2018,9,95,13.3,8.94,14.85,48.2,28.02
2,2018,6,95,35.1,0,14.56,45.69,32.98
101,2018,7,96,22.3,0,16.15,52.83,26.2
2,2018,2,96,22.3,0,16.15,52.83,26.2
0,2018,9,83,33.5,10.6,17.12,37.57,34.71
0,2018,7,83,33.5,10.6,17.12,37.57,34.71
11,2018,7,88,48.7,7.9,20.22,34.81,37.08
19,2018,2,85,28.6,0,21.6,43.33,28.87
86,2017,2,97,17.6,0,16.5,41.06,33.84
1,2018,2,85,25.8,9.13,21.34,33.63,35.9
466,2018,5,98,14.1,7.02,21.68,41.26,30.05
613,2017,2,95,13.2,0,20.38,47.57,25.44
3,2018,5,89,26.6,0,12.38,37.79,42.9
27,2017,0,93,22.3,10.43,22.17,40.06,27.34
2,2018,3,93,30.2,0,19.73,40.86,30.82
0,2017,1,86,45.5,7.9,20.22,34.81,37.08
0,2018,5,96,11.7,9.01,16.02,38.54,36.44
0,2018,2,89,39.7,0,15.03,40.33,38.42
50,2018,4,95,13,0,20.38,47.57,25.44
0,2018,8,96,11.7,9.01,16.02,38.54,36.44
0,2018,2,97,23.4,0,14.22,48.74,31.5
126,2018,6,92,44.1,0,15.73,43.24,33.01
61,2017,1,95,19.5,0,16.15,52.83,26.2
138,2018,3,95,13,0,20.38,47.57,25.44
29,2018,7,96,11.7,9.01,16.02,38.54,36.44
4,2017,1,91,32.9,9.39,14.71,43.12,32.78
14,2018,5,98,14.1,7.02,21.68,41.26,30.05
0,2018,9,96,22.3,0,16.15,52.83,26.2
1,2018,2,93,30.2,0,19.73,40.86,30.82
9,2018,6,96,23.6,9.8,19.18,43.39,27.64
0,2018,2,94,27.9,8.18,12.32,47.42,32.08
0,2018,1,96,12.4,8.26,12.68,46.69,32.37
7,2018,1,96,22.3,0,16.15,52.83,26.2
0,2018,3,96,11.7,9.01,16.02,38.54,36.44
0,2018,9,89,38.4,0,13.25,58.69,24.57
10,2017,0,95,19.5,0,16.15,52.83,26.2
0,2017,0,91,24.1,9.8,19.18,43.39,27.64
129,2018,0,83,35.3,9.39,14.71,43.12,32.78
9,2018,5,95,20.8,0,21.78,45.18,24.85
0,2018,1,98,14.1,7.02,21.68,41.26,30.05
1,2018,9,97,23.4,0,14.22,48.74,31.5
30,2018,2,96,22.3,0,16.15,52.83,26.2
27,2018,2,96,12.4,8.26,12.68,46.69,32.37
64,2018,3,96,21.2,0,16.5,41.06,33.84
1,2018,2,96,21.2,0,16.5,41.06,33.84
0,2018,5,96,21.2,0,16.5,41.06,33.84
27,2018,2,92,44.1,0,15.73,43.24,33.01
0,2017,2,97,29.6,10.6,17.12,37.57,34.71
0,2018,2,85,25.8,9.13,21.34,33.63,35.9
0,2018,9,95,13.3,8.94,14.85,48.2,28.02
15,2017,0,96,17.9,0,21.78,45.18,24.85
368,2018,4,94,22.1,10.43,22.17,40.06,27.34
2,2018,0,96,22.3,0,16.15,52.83,26.2
1,2018,6,97,23.4,0,14.22,48.74,31.5
188,2018,2,96,11.7,9.01,16.02,38.54,36.44
0,2018,3,89,36.9,0,17.1,52.32,27.19
0,2018,7,94,27.9,8.18,12.32,47.42,32.08
11,2018,1,96,22.3,0,16.15,52.83,26.2
161,2017,2,95,13.2,0,20.38,47.57,25.44
0,2017,2,94,31.6,0,14.56,45.69,32.98
0,2018,3,96,22.3,0,16.15,52.83,26.2
0,2018,2,92,44.1,0,15.73,43.24,33.01
1,2018,8,92,28.5,7.54,12.87,46.82,32.77
176,2018,2,89,39.7,0,15.03,40.33,38.42
161,2018,3,87,32.8,0,15.53,44.99,30.84
16,2018,5,86,40.9,11.16,19.75,34.9,34.19
421,2018,8,98,14.1,7.02,21.68,41.26,30.05
1,2018,2,93,30.2,0,19.73,40.86,30.82
110,2018,8,89,26.6,0,12.38,37.79,42.9
3,2018,4,87,32.8,0,15.53,44.99,30.84
2,2017,2,93,10.1,8.94,14.85,48.2,28.02
1,2018,4,95,13.3,8.94,14.85,48.2,28.02
16,2018,3,95,20.8,0,21.78,45.18,24.85
0,2017,1,87,37.8,0,17.1,52.32,27.19
101,2018,8,85,25.8,9.13,21.34,33.63,35.9
5,2018,1,96,12.4,8.26,12.68,46.69,32.37
16,2017,0,85,35.9,11.16,19.75,34.9,34.19
34,2018,1,89,39.7,0,15.03,40.33,38.42
34,2018,7,87,32.8,0,15.53,44.99,30.84
24,2018,3,87,29.1,0,16.87,43.14,30.43
0,2017,1,84,36.2,0,15.03,40.33,38.42
200,2017,0,95,9.8,9.01,16.02,38.54,36.44
0,2018,8,89,36.9,0,17.1,52.32,27.19
0,2018,3,98,14.1,7.02,21.68,41.26,30.05
425,2018,8,95,20.8,0,21.78,45.18,24.85
4,2018,5,83,35.3,9.39,14.71,43.12,32.78
78,2017,0,93,26.7,8.18,12.32,47.42,32.08
0,2018,2,89,36.9,0,17.1,52.32,27.19
143,2017,1,91,32.9,9.39,14.71,43.12,32.78
62,2018,4,97,23.4,0,14.22,48.74,31.5
2,2018,2,96,12.4,8.26,12.68,46.69,32.37
453,2018,4,95,13,0,20.38,47.57,25.44
4,2018,7,94,25,10.52,18.15,38.32,33.01
104,2018,5,93,30.2,0,19.73,40.86,30.82
220,2018,4,96,23.6,9.8,19.18,43.39,27.64
10,2018,4,96,33.8,0,22.03,39.15,33.39
7,2018,2,83,33.5,10.6,17.12,37.57,34.71
0,2018,3,95,35.1,0,14.56,45.69,32.98
3,2017,2,98,12.9,8.26,12.68,46.69,32.37
92,2018,5,88,48.7,7.9,20.22,34.81,37.08
2,2018,8,96,21.2,0,16.5,41.06,33.84
100,2018,5,97,23.4,0,14.22,48.74,31.5
10,2018,2,95,35.1,0,14.56,45.69,32.98
31,2018,7,97,12.2,0,16.99,37.43,35.44
6,2018,1,95,35.1,0,14.56,45.69,32.98
188,2018,1,83,35.3,9.39,14.71,43.12,32.78
4,2018,8,95,20.8,0,21.78,45.18,24.85
13,2018,1,96,21.2,0,16.5,41.06,33.84
2,2017,0,92,24.7,7.54,12.87,46.82,32.77
1,2018,9,97,12.2,0,16.99,37.43,35.44
1,2017,0,95,9.8,9.01,16.02,38.54,36.44
0,2018,0,87,32.8,0,15.53,44.99,30.84
0,2018,2,85,28.6,0,21.6,43.33,28.87
0,2017,1,91,29.2,0,17.22,44.89,32.87
2,2017,0,85,35.9,11.16,19.75,34.9,34.19
6,2017,0,93,22.3,10.43,22.17,40.06,27.34
239,2018,1,86,40.9,11.16,19.75,34.9,34.19
0,2018,6,87,29.1,0,16.87,43.14,30.43
189,2018,8,94,27.9,8.18,12.32,47.42,32.08
0,2018,2,89,26.6,0,12.38,37.79,42.9
260,2018,3,96,21.2,0,16.5,41.06,33.84
40,2018,5,96,23.6,9.8,19.18,43.39,27.64
42,2018,4,87,29.1,0,16.87,43.14,30.43
4,2017,1,95,9.8,9.01,16.02,38.54,36.44
61,2018,7,89,26.6,0,12.38,37.79,42.9
0,2018,4,92,28.5,7.54,12.87,46.82,32.77
8,2017,0,86,45.5,7.9,20.22,34.81,37.08
46,2018,2,97,23.4,0,14.22,48.74,31.5
0,2018,3,87,29.1,0,16.87,43.14,30.43
1,2018,3,96,33.8,0,22.03,39.15,33.39
24,2018,9,94,27.9,8.18,12.32,47.42,32.08
1,2018,2,96,33.8,0,22.03,39.15,33.39
1,2018,9,94,25,10.52,18.15,38.32,33.01
150,2018,6,95,13.3,8.94,14.85,48.2,28.02
146,2017,2,89,23,0,12.38,37.79,42.9
43,2018,2,83,33.5,10.6,17.12,37.57,34.71
0,2018,2,97,23.4,0,14.22,48.74,31.5
1,2017,2,94,31.6,0,14.56,45.69,32.98
0,2017,2,97,17.6,0,16.5,41.06,33.84
0,2018,7,96,11.7,9.01,16.02,38.54,36.44
6,2018,4,89,36.9,0,17.1,52.32,27.19
19,2018,7,94,27.9,8.18,12.32,47.42,32.08
1,2018,3,97,23.4,0,14.22,48.74,31.5
207,2018,5,95,35.1,0,14.56,45.69,32.98
0,2018,5,95,35.1,0,14.56,45.69,32.98
87,2018,2,95,20.8,0,21.78,45.18,24.85
0,2017,1,93,39.2,0,15.73,43.24,33.01
55,2018,7,91,36.3,0,17.22,44.89,32.87
0,2018,2,94,25,10.52,18.15,38.32,33.01
7,2018,5,92,28.5,7.54,12.87,46.82,32.77
8,2018,5,96,23.6,9.8,19.18,43.39,27.64
0,2018,0,96,11.7,9.01,16.02,38.54,36.44
0,2017,1,93,26.7,8.18,12.32,47.42,32.08
15,2018,5,85,25.8,9.13,21.34,33.63,35.9
12,2018,0,95,13.3,8.94,14.85,48.2,28.02
1,2018,8,95,20.8,0,21.78,45.18,24.85
0,2017,2,91,29.2,0,17.22,44.89,32.87
169,2018,6,96,11.7,9.01,16.02,38.54,36.44
1,2018,1,98,14.1,7.02,21.68,41.26,30.05
0,2018,2,96,22.3,0,16.15,52.83,26.2
0,2017,1,85,35.9,11.16,19.75,34.9,34.19
23,2017,2,94,20.6,0,14.22,48.74,31.5
0,2018,5,94,27.9,8.18,12.32,47.42,32.08
138,2018,4,97,23.4,0,14.22,48.74,31.5
1,2017,1,97,29.6,10.6,17.12,37.57,34.71
8,2017,0,86,45.5,7.9,20.22,34.81,37.08
112,2018,6,95,13,0,20.38,47.57,25.44
22,2018,4,96,22.3,0,16.15,52.83,26.2
0,2018,8,89,36.9,0,17.1,52.32,27.19
1,2018,2,94,25,10.52,18.15,38.32,33.01
98,2018,5,95,20.8,0,21.78,45.18,24.85
0,2018,5,83,35.3,9.39,14.71,43.12,32.78
17,2018,2,96,33.8,0,22.03,39.15,33.39
7,2018,8,87,29.1,0,16.87,43.14,30.43
74,2017,1,93,26.7,8.18,12.32,47.42,32.08
17,2017,2,85,35.9,11.16,19.75,34.9,34.19
68,2017,0,93,39.2,0,15.73,43.24,33.01
0,2018,0,97,12.2,0,16.99,37.43,35.44
0,2018,2,94,25,10.52,18.15,38.32,33.01
114,2018,2,96,11.7,9.01,16.02,38.54,36.44
3,2018,1,94,27.9,8.18,12.32,47.42,32.08
0,2018,9,91,36.3,0,17.22,44.89,32.87
1,2017,0,97,29.6,10.6,17.12,37.57,34.71
6,2018,2,85,28.6,0,21.6,43.33,28.87
0,2018,7,91,36.3,0,17.22,44.89,32.87
15,2017,0,95,13.2,0,20.38,47.57,25.44
8,2018,1,95,13.3,8.94,14.85,48.2,28.02
98,2018,6,96,23.6,9.8,19.18,43.39,27.64
6,2018,1,96,21.2,0,16.5,41.06,33.84
1,2018,5,95,13,0,20.38,47.57,25.44
96,2017,1,91,29.2,0,17.22,44.89,32.87
0,2018,0,88,48.7,7.9,20.22,34.81,37.08
30,2018,1,85,28.6,0,21.6,43.33,28.87
1,2018,1,89,36.9,0,17.1,52.32,27.19
44,2018,1,89,38.4,0,13.25,58.69,24.57
1,2018,4,94,25,10.52,18.15,38.32,33.01
163,2018,1,95,13,0,20.38,47.57,25.44
25,2018,2,94,27.9,8.18,12.32,47.42,32.08
36,2017,0,97,17.6,0,16.5,41.06,33.84
113,2017,0,88,29.3,0,21.6,43.33,28.87
6,2018,1,97,12.2,0,16.99,37.43,35.44
2,2017,1,85,35.9,11.16,19.75,34.9,34.19
0,2017,1,88,37.5,0,13.25,58.69,24.57
53,2017,1,81,34,0,22.03,39.15,33.39
0,2018,0,89,26.6,0,12.38,37.79,42.9
129,2018,9,83,35.3,9.39,14.71,43.12,32.78
100,2018,9,96,12.4,8.26,12.68,46.69,32.37
1,2018,5,93,30.2,0,19.73,40.86,30.82
1,2017,0,85,35.9,11.16,19.75,34.9,34.19
1,2018,2,98,14.1,7.02,21.68,41.26,30.05
5,2018,2,95,13,0,20.38,47.57,25.44
101,2017,1,95,19.5,0,16.15,52.83,26.2
185,2018,1,87,32.8,0,15.53,44.99,30.84
0,2018,1,89,38.4,0,13.25,58.69,24.57
1,2018,5,97,23.4,0,14.22,48.74,31.5
1,2018,4,97,23.4,0,14.22,48.74,31.5
149,2018,1,94,27.9,8.18,12.32,47.42,32.08
3,2018,7,85,28.6,0,21.6,43.33,28.87
69,2018,9,94,27.9,8.18,12.32,47.42,32.08
82,2018,2,89,26.6,0,12.38,37.79,42.9
1,2017,0,98,16.7,0,16.99,37.43,35.44
4,2017,0,87,37.8,0,17.1,52.32,27.19
73,2018,2,97,12.2,0,16.99,37.43,35.44
1,2017,2,84,36.2,0,15.03,40.33,38.42
10,2018,2,92,44.1,0,15.73,43.24,33.01
2,2017,2,82,26.1,9.13,21.34,33.63,35.9
4,2018,1,85,25.8,9.13,21.34,33.63,35.9
49,2017,2,94,20.6,0,14.22,48.74,31.5
14,2018,5,86,40.9,11.16,19.75,34.9,34.19
240,2018,6,83,33.5,10.6,17.12,37.57,34.71
0,2018,2,96,12.4,8.26,12.68,46.69,32.37
1,2017,1,84,36.2,0,15.03,40.33,38.42
79,2017,0,92,24.7,7.54,12.87,46.82,32.77
0,2018,9,87,29.1,0,16.87,43.14,30.43
217,2017,0,97,17.6,0,16.5,41.06,33.84
0,2018,3,83,35.3,9.39,14.71,43.12,32.78
0,2018,6,85,28.6,0,21.6,43.33,28.87
1,2018,4,85,25.8,9.13,21.34,33.63,35.9
54,2018,8,94,27.9,8.18,12.32,47.42,32.08
0,2017,2,97,17.6,0,16.5,41.06,33.84
103,2018,5,96,22.3,0,16.15,52.83,26.2
82,2018,3,83,35.3,9.39,14.71,43.12,32.78
0,2018,1,98,14.1,7.02,21.68,41.26,30.05
0,2018,9,95,20.8,0,21.78,45.18,24.85
3,2018,2,97,23.4,0,14.22,48.74,31.5
0,2018,2,95,35.1,0,14.56,45.69,32.98
6,2018,6,83,33.5,10.6,17.12,37.57,34.71
196,2017,2,82,26.1,9.13,21.34,33.63,35.9
5,2018,6,96,22.3,0,16.15,52.83,26.2
66,2018,1,89,39.7,0,15.03,40.33,38.42
18,2018,6,92,44.1,0,15.73,43.24,33.01
0,2018,0,89,36.9,0,17.1,52.32,27.19
0,2018,9,95,20.8,0,21.78,45.18,24.85
1,2018,7,95,20.8,0,21.78,45.18,24.85
1,2018,8,85,28.6,0,21.6,43.33,28.87
72,2018,4,98,14.1,7.02,21.68,41.26,30.05
18,2017,1,89,23,0,12.38,37.79,42.9
2,2018,0,89,36.9,0,17.1,52.32,27.19
0,2018,7,89,26.6,0,12.38,37.79,42.9
43,2018,6,97,23.4,0,14.22,48.74,31.5
0,2017,2,93,39.2,0,15.73,43.24,33.01
0,2018,5,88,48.7,7.9,20.22,34.81,37.08
249,2017,1,93,22.3,10.43,22.17,40.06,27.34
3,2018,1,93,30.2,0,19.73,40.86,30.82
6,2017,2,94,31.6,0,14.56,45.69,32.98
5,2017,2,86,34,0,15.53,44.99,30.84
0,2018,8,92,28.5,7.54,12.87,46.82,32.77
0,2018,1,83,35.3,9.39,14.71,43.12,32.78
0,2018,1,96,12.4,8.26,12.68,46.69,32.37
318,2018,6,94,22.1,10.43,22.17,40.06,27.34
52,2018,2,93,30.2,0,19.73,40.86,30.82
0,2018,8,85,28.6,0,21.6,43.33,28.87
0,2018,2,97,12.2,0,16.99,37.43,35.44
1,2018,2,97,12.2,0,16.99,37.43,35.44
242,2018,1,86,40.9,11.16,19.75,34.9,34.19
1,2018,0,94,25,10.52,18.15,38.32,33.01
29,2018,5,85,25.8,9.13,21.34,33.63,35.9
0,2017,1,85,35.9,11.16,19.75,34.9,34.19
158,2018,1,95,13,0,20.38,47.57,25.44
0,2018,6,96,22.3,0,16.15,52.83,26.2
0,2017,1,95,19.5,0,16.15,52.83,26.2
118,2018,5,91,36.3,0,17.22,44.89,32.87
367,2017,0,91,29.2,0,17.22,44.89,32.87
75,2018,2,93,30.2,0,19.73,40.86,30.82
187,2018,8,93,30.2,0,19.73,40.86,30.82
112,2017,0,86,23.7,0,16.87,43.14,30.43
10,2018,9,95,35.1,0,14.56,45.69,32.98
85,2018,5,96,23.6,9.8,19.18,43.39,27.64
2,2017,2,93,39.2,0,15.73,43.24,33.01
10,2018,2,91,36.3,0,17.22,44.89,32.87
0,2018,6,88,48.7,7.9,20.22,34.81,37.08
189,2018,7,96,11.7,9.01,16.02,38.54,36.44
0,2017,2,88,37.5,0,13.25,58.69,24.57
1,2018,5,85,25.8,9.13,21.34,33.63,35.9
11,2017,2,98,16.7,0,16.99,37.43,35.44
43,2017,2,91,32.9,9.39,14.71,43.12,32.78
119,2017,0,94,29.6,0,19.73,40.86,30.82
48,2018,2,96,22.3,0,16.15,52.83,26.2
11,2018,9,83,35.3,9.39,14.71,43.12,32.78
38,2018,4,96,23.6,9.8,19.18,43.39,27.64
16,2018,5,94,22.1,10.43,22.17,40.06,27.34
2,2018,8,89,39.7,0,15.03,40.33,38.42
97,2018,2,97,23.4,0,14.22,48.74,31.5
201,2017,1,93,10.1,8.94,14.85,48.2,28.02
1,2017,1,93,22.3,10.43,22.17,40.06,27.34
3,2018,9,95,20.8,0,21.78,45.18,24.85
0,2018,8,96,23.6,9.8,19.18,43.39,27.64
3,2018,7,89,38.4,0,13.25,58.69,24.57
3,2017,1,98,16.7,0,16.99,37.43,35.44
22,2018,0,97,23.4,0,14.22,48.74,31.5
0,2018,2,94,27.9,8.18,12.32,47.42,32.08
183,2018,9,89,36.9,0,17.1,52.32,27.19
2,2018,4,96,21.2,0,16.5,41.06,33.84
206,2017,2,94,25.1,10.52,18.15,38.32,33.01
21,2018,8,86,40.9,11.16,19.75,34.9,34.19
0,2017,1,82,26.1,9.13,21.34,33.63,35.9
59,2018,7,87,29.1,0,16.87,43.14,30.43
50,2018,1,85,25.8,9.13,21.34,33.63,35.9
0,2018,2,97,12.2,0,16.99,37.43,35.44
0,2018,4,98,14.1,7.02,21.68,41.26,30.05
58,2018,1,96,21.2,0,16.5,41.06,33.84
258,2017,1,97,29.6,10.6,17.12,37.57,34.71
64,2018,6,93,30.2,0,19.73,40.86,30.82
243,2018,1,94,25,10.52,18.15,38.32,33.01
302,2017,1,97,17.6,0,16.5,41.06,33.84
44,2018,1,95,35.1,0,14.56,45.69,32.98
31,2018,9,95,13.3,8.94,14.85,48.2,28.02
0,2017,0,92,24.7,7.54,12.87,46.82,32.77
229,2018,9,96,33.8,0,22.03,39.15,33.39
0,2018,8,83,35.3,9.39,14.71,43.12,32.78
0,2018,5,94,27.9,8.18,12.32,47.42,32.08
103,2018,7,94,27.9,8.18,12.32,47.42,32.08
121,2018,1,97,23.4,0,14.22,48.74,31.5
0,2017,2,94,14,7.02,21.68,41.26,30.05
0,2018,8,96,22.3,0,16.15,52.83,26.2
49,2018,1,89,38.4,0,13.25,58.69,24.57
7,2018,7,96,23.6,9.8,19.18,43.39,27.64
1,2018,3,95,13.3,8.94,14.85,48.2,28.02
114,2018,1,85,28.6,0,21.6,43.33,28.87
0,2018,9,98,14.1,7.02,21.68,41.26,30.05
18,2017,1,94,14,7.02,21.68,41.26,30.05
1,2018,1,98,14.1,7.02,21.68,41.26,30.05
63,2018,9,89,39.7,0,15.03,40.33,38.42
158,2018,7,88,48.7,7.9,20.22,34.81,37.08
138,2018,3,85,28.6,0,21.6,43.33,28.87
37,2018,1,95,35.1,0,14.56,45.69,32.98
142,2017,1,86,23.7,0,16.87,43.14,30.43
3,2018,4,83,35.3,9.39,14.71,43.12,32.78
160,2018,3,88,48.7,7.9,20.22,34.81,37.08
3,2018,1,95,13.3,8.94,14.85,48.2,28.02
124,2017,0,97,29.6,10.6,17.12,37.57,34.71
5,2018,1,92,44.1,0,15.73,43.24,33.01
0,2017,1,94,14,7.02,21.68,41.26,30.05
174,2018,2,94,25,10.52,18.15,38.32,33.01
138,2018,1,95,13.3,8.94,14.85,48.2,28.02
0,2017,2,91,29.2,0,17.22,44.89,32.87
1,2018,6,97,12.2,0,16.99,37.43,35.44
3,2018,8,94,27.9,8.18,12.32,47.42,32.08
40,2017,1,94,20.6,0,14.22,48.74,31.5
0,2018,2,93,30.2,0,19.73,40.86,30.82
16,2018,2,87,29.1,0,16.87,43.14,30.43
0,2017,2,88,29.3,0,21.6,43.33,28.87
0,2018,1,96,11.7,9.01,16.02,38.54,36.44
5,2018,1,95,13,0,20.38,47.57,25.44
1,2018,3,93,30.2,0,19.73,40.86,30.82
215,2018,2,88,48.7,7.9,20.22,34.81,37.08
0,2018,6,96,23.6,9.8,19.18,43.39,27.64
5,2018,9,91,36.3,0,17.22,44.89,32.87
3,2017,2,86,23.7,0,16.87,43.14,30.43
110,2018,5,83,35.3,9.39,14.71,43.12,32.78
2,2018,6,95,35.1,0,14.56,45.69,32.98
0,2017,2,95,13.2,0,20.38,47.57,25.44
0,2018,1,89,39.7,0,15.03,40.33,38.42
18,2018,6,96,22.3,0,16.15,52.83,26.2
0,2018,3,94,22.1,10.43,22.17,40.06,27.34
132,2017,0,82,26.1,9.13,21.34,33.63,35.9
23,2018,8,92,44.1,0,15.73,43.24,33.01
2,2018,7,92,44.1,0,15.73,43.24,33.01
404,2018,9,96,33.8,0,22.03,39.15,33.39
0,2018,1,89,38.4,0,13.25,58.69,24.57
0,2017,1,93,26.7,8.18,12.32,47.42,32.08
1,2018,6,88,48.7,7.9,20.22,34.81,37.08
0,2018,2,89,26.6,0,12.38,37.79,42.9
8,2018,7,92,28.5,7.54,12.87,46.82,32.77
2,2017,2,96,17.9,0,21.78,45.18,24.85
10,2018,9,89,39.7,0,15.03,40.33,38.42
0,2018,7,97,23.4,0,14.22,48.74,31.5
0,2018,2,98,14.1,7.02,21.68,41.26,30.05
8,2018,7,92,44.1,0,15.73,43.24,33.01
0,2017,0,95,19.5,0,16.15,52.83,26.2
1,2017,2,89,23,0,12.38,37.79,42.9
184,2018,0,91,36.3,0,17.22,44.89,32.87
7,2018,2,89,36.9,0,17.1,52.32,27.19
0,2018,2,85,25.8,9.13,21.34,33.63,35.9
0,2018,6,88,48.7,7.9,20.22,34.81,37.08
2,2018,3,91,36.3,0,17.22,44.89,32.87
1,2017,2,97,17.6,0,16.5,41.06,33.84
13,2017,2,82,26.1,9.13,21.34,33.63,35.9
0,2018,3,95,35.1,0,14.56,45.69,32.98
0,2018,5,96,22.3,0,16.15,52.83,26.2
