Area Code,Area Name,Total Population,PM2.5 Concentration (µg/m3),Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 6%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 1%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 12%
00BFGE,Belmont,10067,14.91,7,1,12
00BFGF,Carshalton Central,9977,14.96,7,1,12
00BFGG,Carshalton South and Clockhouse,10028,14.71,7,1,12
00BFGH,Cheam,9849,14.93,6,1,12
00BFGJ,Nonsuch,10312,14.84,7,1,13
00BFGK,St. Helier,11450,15.07,8,1,14
00BFGL,Stonecot,10477,14.98,7,1,13
00BFGM,Sutton Central,10869,14.96,7,1,13
00BFGN,Sutton North,9895,14.92,7,1,12
00BFGP,Sutton South,9247,14.78,6,1,11
00BFGQ,Sutton West,10255,15.02,7,1,13
00BFGR,The Wrythe,10436,14.9,7,1,13
00BFGS,Wallington North,10074,15.06,7,1,12
00BFGT,Wallington South,9807,15.02,6,1,12
00BFGU,Wandle Valley,10998,15.1,7,1,14
00BFGW,Worcester Park,11137,14.84,7,1,14
00BGFW,Bethnal Green North,12347,15.92,5,1,10
00BGFX,Bethnal Green South,14886,15.88,7,1,12
00BGFY,Blackwall and Cubitt Town,20406,16.11,9,2,17
00BGFZ,Bow East,10897,16.31,5,1,9
00BGGA,Bow West,11101,15.7,5,1,9
00BGGB,Bromley-by-Bow,14514,16.27,6,1,12
00BGGC,East India and Lansbury,13202,16.28,6,1,11
00BGGD,Limehouse,14328,16.25,6,1,12
00BGGE,Mile End and Globe Town,15412,15.81,7,1,13
00BGGF,Mile End East,12377,15.74,5,1,10
00BGGG,Millwall,16705,15.56,7,1,14
00BGGH,St. Dunstan's and Stepney Green,15037,15.65,7,1,12
00BGGJ,St. Katherine's and Wapping,12734,16.13,6,1,10
00BGGK,Shadwell,12733,16.44,6,1,10
00BGGL,Spitalfields and Banglatown,9417,16.37,4,1,8
00BGGM,Weavers,12420,15.9,5,1,10
00BGGN,Whitechapel,13148,16.32,6,1,11
00BHFX,Cann Hall,11792,15.27,7,1,12
00BHFY,Cathall,10981,15.86,6,1,11
00BHFZ,Chapel End,11965,15.33,7,1,12
00BHGA,Chingford Green,9742,14.69,5,1,10
00BHGB,Endlebury,10284,14.87,6,1,11
00BHGC,Forest,10971,15.26,6,1,11
00BHGD,Grove Green,11832,15.75,7,1,12
00BHGE,Hale End and Highams Park,10199,15.21,6,1,11
00BHGF,Hatch Lane,10072,14.82,6,1,10
00BHGG,High Street,11959,15.06,7,1,12
00BHGH,Higham Hill,11441,15.15,6,1,12
00BHGJ,Hoe Street,12041,15.15,7,1,13
00BHGK,Larkswood,10869,14.97,6,1,11
00BHGL,Lea Bridge,12927,15.24,7,1,13
00BHGM,Leyton,13705,15.46,8,1,14
00BHGN,Leytonstone,11718,16.48,7,1,12
00BHGP,Markhouse,10745,15.06,6,1,11
00BHGQ,Valley,10064,15.66,6,1,10
00BHGR,William Morris,11527,15.13,6,1,12
00BHGS,Wood Street,11872,15.17,7,1,12
00BJFZ,Balham,14268,15.57,7,1,14
00BJGA,Bedford,14730,15.43,8,1,14
00BJGB,Earlsfield,14116,15.46,7,1,14
00BJGC,East Putney,14764,15.56,8,1,14
00BJGD,Fairfield,13956,16.12,7,1,13
00BJGE,Furzedown,14374,15.27,7,1,14
00BJGF,Graveney,14203,15.44,7,1,14
00BJGG,Latchmere,13711,16.08,7,1,13
00BJGH,Nightingale,14605,15.51,8,1,14
00BJGJ,Northcote,13990,15.71,7,1,13
00BJGK,Queenstown,15391,16.01,8,1,15
00BJGL,Roehampton,13262,15.2,7,1,13
00BJGM,St. Mary's Park,15386,15.95,8,1,15
00BJGN,Shaftesbury,13510,15.87,7,1,13
00BJGP,Southfields,15508,15.47,8,1,15
00BJGQ,Thamesfield,14914,15.48,8,1,14
00BJGR,Tooting,14266,15.32,7,1,14
00BJGS,Wandsworth Common,14477,15.48,7,1,14
00BJGT,West Hill,16288,15.18,8,1,16
00BJGU,West Putney,13372,15.17,7,1,13
00BKGA,Abbey Road,10745,15.83,5,1,9
00BKGB,Bayswater,9419,16.66,4,1,8
00BKGC,Bryanston and Dorset Square,11415,17.71,5,1,9
00BKGD,Churchill,9105,16.34,4,1,7
00BKGE,Church Street,10453,16.45,5,1,9
00BKGF,Harrow Road,10045,15.97,4,1,8
00BKGG,Hyde Park,13288,17.28,6,1,11
00BKGH,Knightsbridge and Belgravia,10645,16.32,5,1,9
00BKGJ,Lancaster Gate,14050,15.98,6,1,12
00BKGK,Little Venice,9381,16.38,4,1,8
00BKGL,Maida Vale,11030,15.58,5,1,9
00BKGM,Marylebone High Street,10525,17.69,5,1,9
00BKGN,Queen's Park,10240,15.65,5,1,8
00BKGP,Regent's Park,13283,16.06,6,1,11
00BKGQ,St. James's,11015,17.35,5,1,9
00BKGR,Tachbrook,9533,16.47,4,1,8
00BKGS,Vincent Square,10567,16.7,5,1,9
00BKGT,Warwick,8888,16.77,4,1,7
00BKGU,Westbourne,11562,16.69,5,1,9
00BKGW,West End,9561,17.41,4,1,8
